,LoanNumber,Address,City,State,ZipCode,CurrIntRate,CurrRemTerm,CurrRemAmt,CurrPmt,CurrRemArr,OrigAmt,OrigStartDate,OrigEndDate,FairMktVal,1stArrBal,1stMtgBal,2ndArrBal,2ndMtgBal,Equity,CLTV+Arr,AcqCLTV+Arr,WAVGPrice,WAVGPrice%,noteSaleNPV,reinStateNPV,bk13NPV,fcPayoffNPV,fcREONPV,cashFlowNPV,loanModNPV,noteSaleProb,reinStateProb,bk13Prob,fcPayoffProb,fcREOProb,cashFlowProb,loanModProb
0,606598,23 WINDALE COURT,GREENSBORO,NC,27406,0.1110049348258837,215.0,25578.79,274.53,480.94,28600,11/1/05,10/1/35,135000,0,97161.72,480.94,25578.79,11778.549999999988,0.9127514814814816,0.8548409703703704,0.0,0.0,15990.302675934574,16440.293109936247,11661.247043507967,8329.207926375411,-8702.035856748544,16437.4431345198,16326.051917343992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,606599,3562 PEAR BLOSSOM LANE,LAKE ELSINORE,CA,92530,0.04544076796932206,64.0,4208.85,96.06,10.21,77800,12/1/05,11/1/21,308000,0,145978.0,10.21,4208.85,157802.94,0.4876527922077922,0.48354331818181817,2089.9480108609478,0.4953586843659364,2726.4867987955595,2753.909930560149,-1672.5028674345285,929.7034078567535,56250.703927168215,2733.8868733879626,2639.6687379678956,0.0,0.85,0.15,0.0,0.0,0.0,0.0
2,606601,9350 WILLOW WOOD LANE,HOUSTON,TX,77086,0.12697257453733446,218.0,15064.67,177.27,7.44,20200,2/1/06,1/1/36,130000,0,67716.14,7.44,15064.67,47211.75,0.6368326923076923,0.6020508999999999,10152.70993122563,0.6736090654344766,10152.70993122563,10165.943979891112,5651.82361782573,11199.300822904073,17464.717348765957,10153.735266694852,10051.702787298856,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,606602,1116 RIVER ROCK DRIVE,KENNEDALE,TX,76060,0.18269534429670298,218.0,28182.34,445.6,1385.5,51207,2/1/06,1/1/36,351000,0,172665.64,1385.5,28182.34,148766.52,0.5761637606837607,0.5508921025641026,26819.125715850132,0.907037027927983,26323.03412832588,27609.486558799927,22340.414272467966,25784.365762355577,85908.90707944774,27623.09760818293,27495.245366207673,0.0,0.85,0.15,0.0,0.0,0.0,0.0
4,606603,7123 SUN VILLAGE DRIVE,HOUSTON,TX,77083,0.10203130011856842,219.0,24548.94,247.48,196.15,28200,3/1/06,2/1/36,185000,0,96522.78,196.15,24548.94,63732.130000000005,0.655502,0.615374827027027,14390.61449488789,0.5815543404727116,14390.61449488789,14573.44082679228,9919.412719940658,20340.477828724208,37575.55308027689,14567.987994528792,14459.199634200028,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,606604,15410 PRAIRIE OAKS DRIVE,HOUSTON,TX,77083,0.10033006421353097,219.0,20683.24,206.23,170.0,23500,3/1/06,2/1/36,141000,0,80197.5,170.0,20683.24,39949.259999999995,0.716671914893617,0.6723033191489362,11903.630894436259,0.5708288445553908,11903.630894436259,12067.440628796772,7467.203182488964,16591.950843131803,18965.749137434937,12058.018560121414,11953.199436204519,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,606605,500 ORANGE DRIVE 12,ALTAMONTE SPRINGS,FL,32701,0.11899348575842073,220.0,20726.16,231.99,188.06,23000,4/1/06,3/1/36,67000,0,76854.3,188.06,20726.16,-30768.520000000004,1.459231641791045,1.365585880597015,0.0,0.0,13463.031863202144,13640.363214495355,9005.954314416784,-3412.9497326717415,-26810.698956569315,13633.41987381926,13526.122021903104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,606606,4804 NW HOOVER AVENUE,LAWTON,OK,73505,0.12467866422531326,220.0,13561.96,157.07,136.44,15000,4/1/06,3/1/36,85000,0,50647.9,136.44,13561.96,20653.699999999997,0.7570152941176471,0.708668,8944.026569854357,0.6529249087378349,8944.026569854357,9082.893483232176,4547.564724151253,9845.53502005314,1248.732781844341,9068.741046993016,8968.652290639922,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,606607,12206 ASHCROFT DRIVE,HOUSTON,TX,77035,0.18262026325897995,220.0,12774.02,201.67,66.0,22980,4/1/06,3/1/36,195000,0,90039.0,66.0,12774.02,92120.98,0.527584717948718,0.507830841025641,11015.629557836399,0.8579137382836163,11634.197900387047,11699.687713018513,7139.30001180442,9310.534410646564,39154.754835099186,11689.826863299817,11585.446520426261,0.0,0.85,0.15,0.0,0.0,0.0,0.0
9,606608,3609 RHONDA STREET,EDINBURG,TX,78539,0.10024255835530482,220.0,19669.69,195.7,394.78,22300,4/1/06,3/1/36,115000,0,81204.65,394.78,19669.69,13730.880000000005,0.8806010434782608,0.8282589478260869,0.0,0.0,11274.100975649919,11653.314209235416,6989.197616557518,7783.983279458818,-8271.883702869996,11642.87890275602,11539.073016643164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
