,PmtNo,BuyersPrice,SellersPrice,PNL,Rev,Exp,MtgBegBal,MtgPrinPaid,MtgIntPaid,MtgPrinArr,MtgIntArr,MtgEndBal,ArrBegBal,ArrAdded,ArrPaid,ArrForgiven,ArrEndBal,FinCost,DDCost,AcqCost,ServCost,FCCost,RehabCost,BK13Cost,SalesCommission,FirstLienPmt,AmortBegBal,AmortPrinDue,AmortIntDue,AmortEndBal
2017-12-01,1,0.0,0.0,-443.0,0.0,443.0,28182.34,0.0,0.0,16.53480755122291,429.06519244889535,28165.805192448777,1385.5,445.60000000011826,0.0,0.0,1831.1000000001181,0.0,318.0,55.0,70.0,0.0,0.0,0.0,0.0,0.0,28182.34,16.53480755122291,429.06519244889535,28165.805192448777
2018-01-01,2,0.0,0.0,0.0,0.0,0.0,28165.805192448777,0.0,0.0,16.7865435810927,428.8134564190245,28149.018648867685,1831.1000000001181,445.6000000001172,0.0,0.0,2276.7000000002354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28165.805192448777,16.7865435810927,428.8134564190245,28149.018648867685
2018-02-01,3,0.0,0.0,0.0,0.0,0.0,28149.018648867685,0.0,0.0,17.04211219435092,428.5578878057662,28131.976536673334,2276.7000000002354,445.6000000001171,0.0,0.0,2722.3000000003526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28149.018648867685,17.04211219435092,428.5578878057662,28131.976536673334
2018-03-01,4,0.0,0.0,3152.900000000472,3167.900000000472,15.0,28131.976536673334,17.301571740594227,428.2984282595254,0.0,0.0,28114.67496493274,2722.3000000003526,0.0,2722.3000000003526,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,28131.976536673334,17.301571740594227,428.2984282595254,28114.67496493274
2018-04-01,5,0.0,0.0,430.600000000116,445.600000000116,15.0,28114.67496493274,17.56498145775913,428.03501854235685,0.0,0.0,28097.10998347498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,28114.67496493274,17.56498145775913,428.03501854235685,28097.10998347498
2018-05-01,6,0.0,0.0,430.6000000001181,445.6000000001181,15.0,28097.10998347498,17.83240148567711,427.767598514441,0.0,0.0,28079.277581989303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,28097.10998347498,17.83240148567711,427.767598514441,28079.277581989303
2018-06-01,7,0.0,26350.61408847421,26781.214088474328,26796.214088474328,15.0,28079.277581989303,18.103892879767955,427.4961071203524,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,28079.277581989303,18.103892879767955,427.4961071203524,28061.173689109535
2018-07-01,8,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28061.173689109535,18.37951762499506,427.22048237512075,28042.79417148454
2018-08-01,9,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28042.79417148454,18.65933865003535,426.94066135007864,28024.134832834505
2018-09-01,10,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28024.134832834505,18.943419841627474,426.6565801584939,28005.191412992877
